event_id,title,acts,scene,date,time,lat,lng,place_name,address,description,symbols,reflection,photos,videos,plus18,price
EV-2026-02-07-01,Comisario Pantera y Pastilla en el Anexo,Pastilla|Comisario Pantera,indie|alternativa | rock,02/07/26,22:30,31.74289605,-106.4839858,Anexo Centenario,C. Ignacio Mejía Centro 32000 Juárez Chih.,Entrada sin contratiempos; el sonido se sentía fuerte cerca de la barra.,alternativo|multitud|seguro|tolerancia_volumen|tolerancia_alcohol|barato|memoria|tolerancia_expresion|cuerpo_calor|cuerpo_hacinamiento,El evento estuvo bien Perro,https://drive.google.com/file/d/1R6XaOu1CJFZqX0RzmQfW-v-Rmp0NhG1E/view?usp=sharing|https://drive.google.com/file/d/1rld5Sxnr_pFLogEivWUH8WoY2JI74418/view?usp=sharing|https://drive.google.com/file/d/1YKb9sO6NiWXnaMRTwbp-SfRHj5BLrCfj/view?usp=sharing|https://drive.google.com/file/d/19k26ZllfebIi01K-X0MxHx6ve_0p2w4A/view?usp=sharing|https://drive.google.com/file/d/10mBIPUFJm984Z8zjaIMnkrMPjFgln8xT/view?usp=sharing|https://drive.google.com/file/d/14Qx_G9OwoVMqHtxQtmT2Y0H_TFiJmqrx/view?usp=sharing|https://drive.google.com/file/d/1VDWIravyWJyAwec6gD-ymLTCfVKifdRM/view?usp=sharing|https://drive.google.com/file/d/1VhvL_JZw_zv345mQByBVHB7f8gfFlwEe/view?usp=sharing|https://drive.google.com/file/d/1HVUIaoXyrx184YKnuRNGLGRYc9hHsARh/view?usp=sharing|https://drive.google.com/file/d/1j1TvERhZRNAS8fBryYkA1pHJJghw6io-/view?usp=sharing,https://youtu.be/itgwkUAHwY4|https://youtu.be/wpxJhLyY-og|https://youtu.be/aGN4fRDfdoI,1,470|992
EV-2026-02-21-01,Juan Cirerol en el Anexo,Juan Cirerol|Octopoulpe,punk_hardcore|regional_mexicano|norteño_banda|festival_mixto,02/21/26,21:00,31.74289605,-106.4839858,Anexo Centenario,C. Ignacio Mejía Centro 32000 Juárez Chih.,,barato|alternativo|memoria|frontera|seguro|tolerancia_volumen|tolerancia_alcohol|tolerancia_expresion|cuerpo_calor|cuerpo_hacinamiento,,https://drive.google.com/file/d/1gi8aW-Qx_aUqKb2H5vciI7UPMElN7k_7/view?usp=sharing|https://drive.google.com/file/d/1qO3kqvogFdNBgeHzhFi1qhsDmjT8F0s8/view?usp=sharing,https://youtu.be/N1wpnWhg8U0|https://youtu.be/Dg6aw8iiK7s,1,280|280
EV-2026-02-19-01,Matute ,Matute,covers_tributo|pop|rock,02/19/26,19:00,31.7408187,-106.4556919,Gimnasio Universitario de la UACJ,"C. Ignacio Mejía s/n, Margaritas, 32315 Juárez, Chih.",,caro|mainstream|familiar|seguro|tolerancia_volumen|cuerpo_accesibilidad,,https://wachate.mx/wp-content/uploads/2026/02/WhatsApp-Image-2026-02-18-at-5.32.10-PM.jpeg,https://www.tiktok.com/@wachatetv/video/7609192880485190919?is_from_webapp=1&sender_device=pc,0,872|3490
EV-2026-02-12-01,Nicho Hinojosa,Nicho hinojosa,pop|trova_cantautor|covers_tributo,02/12/26,20:00,31.73535137,-106.4646675,Auditorio Benito Juárez,"Auditorio Cívico Municipal Benito Juárez, Ignacio Ramírez s/n, Partido Romero, 32030 Juárez, Chih.",,caro|mainstream|familiar|tranquilo|seguro|cuerpo_accesibilidad,,https://wachate.mx/wp-content/uploads/2026/02/HINOJRZ300x300.jpg,,0,560|896
EV-2026-02-12-02,Sad Valentine - tributo a Pxndx,BXNDX,punk_hardcore|covers_tributo|local_emergente,02/12/26,21:00,31.72212847,-106.4191046,Barra Negra,"Enramada 7339, Tecnológico, 32500 Juárez, Chih.",,barato|alternativo|seguro|tolerancia_volumen|tolerancia_expresion|cuerpo_accesibilidad,,https://wachate.mx/wp-content/uploads/2026/02/WhatsApp-Image-2026-01-21-at-2.15.53-PM.jpeg,,1,200|250
EV-2026-02-13,Tributo a Elefante,Grupo Ángel,pop|covers_tributo|local_emergente,02/13/26,21:00,31.7325522,-106.423439,Silver Fox Fuel,"Av. Paseo Triunfo de la República 430, Las Fuentes, 32530 Juárez, Chih.",,barato|mainstream|seguro|tolerancia_alcohol|tolerancia_expresion|cuerpo_accsebilidad,,https://wachate.mx/wp-content/uploads/2026/02/615218288_1360794166085900_7192315490283259509_n.jpg,,1,200|250
EV-2026-02-14-01,Titanic Sinfónico,Orquesta sinfónica,classical_contemporary,02/14/26,18:30,31.73535137,-106.4646675,Auditorio Benito Juárez,"Auditorio Cívico Municipal Benito Juárez, Ignacio Ramírez s/n, Partido Romero, 32030 Juárez, Chih.",,familiar|tranquilo|seguro|cuerpo_accesibilidad,,https://wachate.mx/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-18-at-1.20.08-PM-6-1024x768.jpeg,,0,560|785
EV-2026-02-14-02,Gran Baile de Enamorados,Sonora Santanera de Carlos Colorado con Mar�a Fernanda|Los Frontera|Los Putifos|Los Silver,cumbia_tropical,02/14/26,20:00,31.72644705,-106.4713553,Moroccos,"Av Reforma 1805, El Barreal, 32040 Juárez, Chih.",,,,https://wachate.mx/wp-content/uploads/2025/12/Screenshot-2025-12-19-at-5.52.49-p.m.png,,1,450|1400
EV-2026-02-14-03,La internacional Sonora Everest,"La internacional Sonora Everest, Skandalosa Sonora, Incomparable Sonora",cumbia_tropical,02/14/26,20:00,31.68181836,-106.4081865,Evolution Discoteque,"Av. P. de la Victoria 4545, Partido Iglesias, 32528 Juárez, Chih.",,barato|de_barrio|multitud|tolerancia_baile|tolerancia_alcohol|tolerancia_expresion|cuerpo_calor,,https://wachate.mx/wp-content/uploads/2026/01/WhatsApp-Image-2026-01-09-at-1.45.33-PM-7-1024x768.jpeg,,1,450|1400
EV-2026-02-14-04,Tributo a los Ángeles Azules,Alejandra Mango,cumbia_tropical|covers_tributo,02/14/26,20:00,31.7325522,-106.423439,Silver Fox Fuel,"Av. Paseo Triunfo de la República 430, Las Fuentes, 32530 Juárez, Chih.",,barato|mainstream|seguro|tolerancia_alcohol|tolerancia_expresion|cuerpo_accsebilidad,,https://wachate.mx/wp-content/uploads/2026/02/WhatsApp-Image-2026-02-06-at-6.37.24-PM.jpeg,,1,300|400
EV-2026-02-14-05,La Barranca en el Anexo,La Barranca,rock|alternativa,02/14/25,20:30,31.74289605,-106.4839858,Anexo Centenario,C. Ignacio Mejía Centro 32000 Juárez Chih.,,alternativo|multitud|seguro|tolerancia_volumen|tolerancia_alcohol|caro|memoria|tolerancia_expresion|cuerpo_calor|cuerpo_hacinamiento,,https://wachate.mx/wp-content/uploads/2026/01/WhatsApp-Image-2026-01-09-at-1.22.28-PM-1024x768.jpeg ,,1,730|1065
EV-2026-02-27-01,Road to Veracruz Metal Fest,Behid the burial|Coventry|Redeemer|Vomet|OverdoseD,metal|local_emergente,02/27/26,20:00,31.74284221,-106.4831732,Hysteria,"C. Ignacio Mejía 127, Bellavista, 32000 Juárez, Chih.",,barato|de_barrio|alternativo|pesado|inseguro|tolerancia_volumen|tolerancia_alcohol|tolerancia_expresion|tolernacia_baile|cuerpo_calor|cuerpo_accesibilidad|cuerpo_hacinamiento,,"https://drive.google.com/file/d/16sPo6J-Jb6V8OOBhTlhYMF63rtMaRTfn/view?usp=sharing | https://drive.google.com/file/d/1MfHrk35-4oxURHJ_YmG_Amh-T4xXvBaU/view?usp=sharing | https://drive.google.com/file/d/1VNqTANMbRtHZySQC6yu_zWKEDetVzIYd/view?usp=sharing | https://drive.google.com/file/d/1BA-jtYysdIiF8bldgZzc_hiiD3UmZ4Ht/view?usp=sharing | https://drive.google.com/file/d/1-uEkrdBGnum7EZ5_rkW8FmP1UHof6sWQ/view?usp=sharing | https://drive.google.com/file/d/12yHW6sviBh11SQOI1-PGcQp3gWT_hdG7/view?usp=sharing | https://drive.google.com/file/d/1KNvZt2Xy_V_bSglaq1-0hwe2yn5uY2lI/view?usp=sharing | https://drive.google.com/file/d/1OlBrUe6odMe5nov3IbfrP5LsY-ynELGm/view?usp=sharing | https://drive.google.com/file/d/1SOIwk8Mb0foMi7VrCEnW6tqF9QqnjELa/view?usp=sharing | https://drive.google.com/file/d/1Scc5dBQTQ9VvaL3jv-bESYW20Gct9hrl/view?usp=sharing | https://drive.google.com/file/d/1YA90MW_IrMZRmSEC_erH6WIinlQ997PK/view?usp=sharing | https://drive.google.com/file/d/1_keHFeAMBMtq_l4Hhj3LG1h9VX9W_l4p/view?usp=sharing | https://drive.google.com/file/d/1aSH5jVJtA1eqr0UX_DXRLTHpRuxLw_Bx/view?usp=sharing | https://drive.google.com/file/d/1evFxSNUSjwwj5tgCUfHqBpse_f78S-He/view?usp=sharing | https://drive.google.com/file/d/1gUXUwmzwDmRZZNas2OWeiyQjnuCEGvua/view?usp=sharing | https://drive.google.com/file/d/1jWrj-tOmVG_AHg9noCLmRVh4mdSZe0_L/view?usp=sharing | https://drive.google.com/file/d/1lIut_Evf0PkQNAUJPHzZeUkZY-XtmSDC/view?usp=sharing | https://drive.google.com/file/d/1lmK1Ajy5CyexWfbv0aMKzz4RSN8xsgKW/view?usp=sharing | https://drive.google.com/file/d/1qtbuZMNJGFK_5XRt2Fokjnz4LBtQEiyI/view?usp=sharing | https://drive.google.com/file/d/1r1thJMVs5ddV_-uMueRy-uxtXUWMkyVO/view?usp=sharing | https://drive.google.com/file/d/1rwCkJSfBClPNhTxB9ObJdJZ9bGv_YAEA/view?usp=sharing | https://drive.google.com/file/d/1tjiQt2fSem3qBsQHAcf20dYTDxt2aOmm/view?usp=sharing | https://drive.google.com/file/d/1my0B3FAsCf-VX5c_Aa2kbMHEDHYf7IIO/view?usp=sharing | https://drive.google.com/file/d/1uk5gH0CEvUgMl6qw_Hd_LXzHxPDAxdey/view?usp=sharing | https://drive.google.com/file/d/1vQpgqkzDNypy3bkrju2zWufInwrEhTyJ/view?usp=sharing | https://drive.google.com/file/d/1yQkz_x2LALYlE0H_6AXyS9RoJTicqg3s/view?usp=sharing
",https://youtu.be/mzlfSLFd2Gc | https://youtu.be/zxCpyTtrLUw,1,100|100
