event_id,title,acts,scene,date,time,lat,lng,place_name,address,description,symbols,reflection,photos,videos,plus18,price
EV-2026-22-05,¡Vida México! Carlos Rivera en concierto,Carlos Rivera,pop | regional_mexicano,05/22/26,20:00,31.72699253,-106.4709373,Estadio Carta Blanca,"Av Reforma 1535, El Barreal, 32040 Juárez, Chih.",,barato,,https://wachate.mx/wp-content/uploads/2026/02/WhatsApp-Image-2026-02-19-at-5.06.13-PM.jpeg,,0,545|4195
EV-2026-23-05,Generación del '95 Panteón Rococó XXX,Panteón Rococó,reggae_ska,05/23/26,21:00,31.7408187,-106.4556919,Gimnasio Universitario de la UACJ,"C. Ignacio Mejía s/n, Margaritas, 32315 Juárez, Chih.",,caro,,https://wachate.mx/wp-content/uploads/2026/02/WhatsApp-Image-2026-02-25-at-12.50.05-PM-5.jpeg,,0,400|1490
EV-2026-05-05,2000's por siempre,Equinox Band,pop | rock | covers_tributo,05/05/26,21:00,31.72212847,-106.4191046,Barra Negra,"Enramada 7339, Tecnológico, 32500 Juárez, Chih.",,barato,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-02-25-at-6.10.47-PM.jpeg,,1,730|2500
EV-2026-06-05,Alejandro Filio,Alejandro Filio,trova_cantautor,05/06/26,21:00,31.70559338,-106.4251864,Las Malas Compañías,"Av. Ejército Nacional 2701-Local 14 G, Del Márquez, 32618 Juárez, Chih., Mexico",,caro,,https://wachate.mx/wp-content/uploads/2026/02/WhatsApp-Image-2026-02-12-at-1.55.27-PM-1.jpeg,,0,725|1325
EV-2026-07-05,Final Fantasy Concierto,,classical_contemporary | covers_tributo,05/07/26,18:00,31.73535137,-106.4646675,Auditorio Benito Juárez,"Auditorio Cívico Municipal Benito Juárez, Ignacio Ramírez s/n, Partido Romero, 32030 Juárez, Chih.",,,,https://wachate.mx/wp-content/uploads/2026/02/612484354_1259061199589084_6418407842982440257_n.jpg,,0,560|785
EV-2026-13-05,Tributo La Oreja de Van Gogh vs. La Quinta Estación,El Gran Rex,pop | covers_tributo,05/13/26,21:00,31.7325522,-106.423439,Silver Fox Fuel,"Av. Paseo Triunfo de la República 430, Las Fuentes, 32530 Juárez, Chih.",,barato,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-02-25-at-6.10.48-PM-1.jpeg,,1,150|150
EV-2026-14-03-01,¡Gran Bailazo! Tropicalísimo Apache,Tropicalísimo Apache,cumbia_tropical | regional_mexicano,03/14/26,20:00,31.72844579,-106.471581,Salón Morocco's,"Av Reforma 1605, El Barreal, 32040 Juárez, Chih., Mexico",,barato | de_barrio | tolerancia_baile | tolerancia_alcohol | memoria,,https://wachate.mx/wp-content/uploads/2026/01/APAJRZ300x300.jpg,,1,191|767
EV-2026-14-03-02,Vive la LarryManía Tour 2026,Larry Hernández,regional_mexicano | norteño_banda,03/14/26,21:00,31.68181836,-106.4081865,Evolution Discoteque,"Av. P. de la Victoria 4545, Partido Iglesias, 32528 Juárez, Chih.",,barato | tolerancia_baile | tolerancia_alcohol | pesado,,https://wachate.mx/wp-content/uploads/2026/03/641574636_1258755173026850_5506568599293061675_n.jpg,,1,896|2016
EV-2026-15-03-01,José José Tributo,Gerardo Tiscareño y los desalmados,covers_tributo,03/15/26,21:00,31.72212847,-106.4191046,Barra Negra,"Enramada 7339, Tecnológico, 32500 Juárez, Chih.",,barato,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-09-at-1.44.49-PM.jpeg,,1,150|300
EV-2026-19-03,De la Naturaleza al Destino,Filarmónica Joven de Ciudad Juárez,classical_contemporary,03/19/26,19:00,31.74394947,-106.4441167,Teatro Experimental Octavio Trías,"Anillo Envolvente del Pronaf 780, Zona Pronaf Condominio La Plata, 32315 Juárez, Chih., Mexico",,barato | familiar,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-09-at-1.44.50-PM-1.jpeg,,0,55|200
EV-2026-20-03,Tributo Gloria Trevi vs. Alejandra Guzmán,Black Noir,covers_tributo | pop ,03/20/26,21:00,31.7325522,-106.423439,Silver Fox Fuel,"Av. Paseo Triunfo de la República 430, Las Fuentes, 32530 Juárez, Chih.",,barato | tolerancia_alcohol,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-02-25-at-6.10.47-PM-6.jpeg,,1,150|200
EV-2026-20-03-01,Reynaldos de la Sierra,Reynaldos de la Sierra,regional_mexicano | norteño_banda,03/20/26,21:00,31.68181836,-106.4081865,Evolution Discoteque,"Av. P. de la Victoria 4545, Partido Iglesias, 32528 Juárez, Chih.",,barato | tolerancia_baile | tolerancia_alcohol | pesado,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-09-at-1.44.50-PM-2.jpeg,,1,250|500
EV-2026-21-03,Tributo a The Killers,Runaways,rock | covers_tributo,03/21/2026,21:00,31.72212847,-106.4191046,Barra Negra,"Enramada 7339, Tecnológico, 32500 Juárez, Chih.",,barato | tolerancia_alcohol,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-09-at-1.44.49-PM-1.jpeg,,1,150|300
EV-2026-27-03,Tributo Divas Despechadas,,covers_tributo | pop,03/27/26,22:00,31.69355457,-106.3642997,Cervecería la 45,"C. Valle del Sol 1451, Salvarcar, 32546 Juárez, Chih., Mexico",,tolerancia_alcohol,,https://wachate.mx/wp-content/uploads/2026/03/646839532_1504623034999890_6802945244640608174_n.jpg,,1,336|560
EV-2026-03-04,Joss Close Friends Sessions,Joss Vazquez,pop,04/03/26,21:00,31.7314014,-106.4278678,Foro Main,"Fray Marcos de Niza 100, Del Futuro, 32390, Juárez, Chih.",,íntimo,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-23-at-1.57.13-PM.jpeg,,0,300|300
EV-2026-04-04,Tributo a Foo fighters,RadioFighters,rock | covers_tributo,04/04/26,21:00,31.72212847,-106.4191046,Barra Negra,"Enramada 7339, Tecnológico, 32500 Juárez, Chih.",,barato | tolerancia_alcohol,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-23-at-7.02.08-PM.jpeg,,1,150|300
EV-2026-04-04-01,Juntos. Así o más claro y que critiquen,Jorge Medina | Josi Cuen,regional_mexicano | norteño_banda,04/04/26,21:00,31.72699253,-106.4709373,Estadio Carta Blanca,"Av Reforma 1535, El Barreal, 32040 Juárez, Chih.",,barato | tolerancia_baile | tolerancia_alcohol | pesado,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-09-at-1.44.51-PM.jpeg,,0,835|3810
EV-2026-11-04,Dragon Ball Z Sinfónico,Filarmónica del Bravo | Adrián Barba,classical_contemporary | covers_tributo,04/11/26,19:00,31.74394947,-106.4441167,Centro Cultural Paso del Norte,"Anillo Envolvente del Pronaf, Zona Pronaf Condominio La Plata, 32315 Juárez, Chih., Mexico",,caro | familiar | tranquilo,,https://wachate.mx/wp-content/uploads/2026/04/Screenshot-2026-04-07-at-3.13.11-p.m.png,,0,300|700
EV-2026-11-04-01,Tributo The Doors,Voltio,covers_tributo | rock,04/11/26,21:00,31.72212847,-106.4191046,Barra Negra,"Enramada 7339, Tecnológico, 32500 Juárez, Chih.",,barato | tolerancia_alcohol,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-23-at-7.02.08-PM-2.jpeg,,1,150|300
EV-2026-12-04,Fell n' beat sessions vol. 7 ,Emilio Antun | Disco Fvcks | Don Emilio,electronica,04/12/26,20:00,31.67894203,-106.3930101,La casona salón de eventos,"Blvd. Teófilo Borunda 9551, 32543 Juárez, Chih., Mexico",,,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-09-at-1.44.51-PM-1.jpeg,,1,448|950
EV-2026-17-04,Gloria Trevi,Gloria Trevi,pop,04/17/26,21:00,31.7408187,-106.4556919,Gimnasio Universitario de la UACJ,"C. Ignacio Mejía s/n, Margaritas, 32315 Juárez, Chih.",,caro,,https://wachate.mx/wp-content/uploads/2026/02/WhatsApp-Image-2026-02-12-at-1.55.28-PM-2.jpeg,,0,900|5690
EV-2026-17-04-01,Serbia Tour 2025-2026,Serbia,metal,04/17/26,21:00,31.74289605,-106.4839858,Anexo Centenario,C. Ignacio Mejía Centro 32000 Juárez Chih.,,barato | tolerancia_alcohol | tolernacia_expresion | tolerancia_baile,,https://wachate.mx/wp-content/uploads/2026/03/643883470_1336886735141208_5318141678744494269_n.jpg,,1,672|1120
EV-2026-18-04,Bryndis X siempre,Los Apson | Los Silver | Bryndis,cumbia_tropical | regional_mexicano,04/18/26,20:00,31.74191958,-106.4869358,Gimnasio Municipal Josué Neri Santos,"Prof.ª María Martínez s/n,  Centro, 32000, Juárez, Chih.",,barato | de_barrio | tolerancia_baile | tolerancia_alcohol | memoria,,https://wachate.mx/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-23-at-1.57.14-PM-1.jpeg,,0,300|1008
EV-2026-18-04-01,"Porter ""Rituales""",Porter,rock | alternativo | indie,04/18/26,20:00,31.73535137,-106.4646675,Auditorio Benito Juárez,"Auditorio Cívico Municipal Benito Juárez, Ignacio Ramírez s/n, Partido Romero, 32030 Juárez, Chih.",,caro,,https://wachate.mx/wp-content/uploads/2026/03/nautter_1768004345_3806618804273597212_1591467168.jpg,,0,560|896
EV-2026-25-04,Freestyle Master Series - Final Internacional,Aczino | Chuty | El Menor,hip_hop_rap,04/25/26,16:00,31.75678194,-106.4406535,Plaza de la Mexicanidad,"Chamizal, 32300 Ciudad Juárez, Chihuahua, Mexico",,,,https://wachate.mx/wp-content/uploads/2026/04/juareznumerouno_1772233234_3842093296898650799_58030194562.jpg,,0,0|0
EV-2026-27-04,Tributo a Heart,Barracuda Tribute Band,rock | covers_tributo,04/27/26,21:00,31.7325522,-106.423439,Silver Fox Fuel,"Av. Paseo Triunfo de la República 430, Las Fuentes, 32530 Juárez, Chih.",,barato | tolerancia_alcohol,,https://wachate.mx/wp-content/uploads/2026/02/633061798_1383860483779268_3815951883791704598_n.jpg,,1,150|300
EV-2026-11-04-02,20 Years of Hard Pop - Popof,Popof ,electronica,04/11/26,21:00,31.73595413,-106.4462358,Hard Pop,"México 45 4515, Colegio, 32310 Juárez, Chih.",,barato | tolerancia_alcohol | tolerancia_baile | tolerancia_expresion,,"https://r2.starticketmx.com/cdn-cgi/image/width=1080,quality=80/o/143/e/791/i8wURBNvIGxXt15TRPG6mLOEP04eVjWkFZXaVp0H.png",,1,600|700
EV-2026-27-03-01,20 Years of Hard Pop - Dave Seaman & Anthony Pappa,Dave SeaMan | Anthony Pappa,electronica,04/27/26,21:00,31.73595413,-106.4462358,Hard Pop,"México 45 4515, Colegio, 32310 Juárez, Chih.",,barato | tolerancia_alcohol | tolerancia_baile | tolerancia_expresion,,"https://r2.starticketmx.com/cdn-cgi/image/width=1080,quality=80/o/143/e/777/AtEI5oBiqEwsddJPCH1xOj56IsdydmKONmwrD2LS.png",,1,600|700
EV-2026-21-04-02,20 Years of Hard Pop - Lee Foss - Repopulate Mars,Lee Foss,electronica,04/21/26,21:00,31.73595413,-106.4462358,Hard Pop,"México 45 4515, Colegio, 32310 Juárez, Chih.",,barato | tolerancia_alcohol | tolerancia_baile | tolerancia_expresion,,https://drive.google.com/file/d/1TiBO6iDJQL4VBsiM-txD3QpLOFDFyXm4/view?usp=sharing,,1,600|700
EV-2026-21-02-01,20 Years of Hard Pop - Chelina Manuhutu,Chelina Manuhutu,electronica,02/21/26,21:00,31.73595413,-106.4462358,Hard Pop,"México 45 4515, Colegio, 32310 Juárez, Chih.",,barato | tolerancia_alcohol | tolerancia_baile | tolerancia_expresion,,https://drive.google.com/file/d/1SAa3kXoS4DGYYF2mK-_uLOQNhcZpiSDk/view?usp=sharing,,1,600|700
EV-2026-16-01,20 Years of Hard Pop - Trikk,Trikk,electronica,01/16/26,21:00,31.73595413,-106.4462358,Hard Pop,"México 45 4515, Colegio, 32310 Juárez, Chih.",,barato | tolerancia_alcohol | tolerancia_baile | tolerancia_expresion,,https://drive.google.com/file/d/1hwS92vx8K5O_CJy-dTyV-IqOpXqrZovH/view?usp=sharing,,1,600|700
EV-2026-15-05-02,20 Years of Hard Pop - Lee Burridge,Lee Burridge,electronica,05/21/26,21:00,31.73595413,-106.4462358,Hard Pop,"México 45 4515, Colegio, 32310 Juárez, Chih.",,barato | tolerancia_alcohol | tolerancia_baile | tolerancia_expresion,,https://drive.google.com/file/d/1SRcFeHpGhui1UgVTm3Ba6X9PiTEeg4P_/view?usp=sharing,,1,600|700
